Original,Model Correction,DetectErreur Correction,DE Modified
Pour ou contre l’ouverture dominicale des commerces?,Pour ou contre l’ouverture dominicale des commerces ?,N/A,N/A
La vie eu XXI siècle est vraiment rapide.,La vie du XXIe siècle est vraiment rapide.,N/A,N/A
"Tout se passe à grand vitesse et beaucoup d’entre nous n’a
pas le temps.",Tout se passe à grande vitesse et beaucoup d’entre nous n’a pas le temps.,N/A,N/A
"En plus c’est le monde de plus en plus commercialisé qui tend à une bénéfice le plus
grand possible.",En plus c’est le monde de plus en plus commercialisé qui tend à un bénéfice le plus grand possible.,N/A,N/A
"En considérant cette réalité est-ce que l’ouverture dominicale des commerces est
une bonne idée?",En considérant cette réalité est-ce que l’ouverture dominicale des commerces est une bonne idée ?,N/A,N/A
"Dans ce document on va envisager les arguments de ce qui sont pour et de ceux qui sont contre cette
solution.","Dans ce document, on va envisager les arguments de ce qui est pour et de ceux qui sont contre cette solution.",N/A,N/A
"Premièrement il faudrait commencer par une constatation que beaucoup des commerces sont déjà
ouverts le dimanche.","Premièrement, il faudrait commencer par une constatation selon laquelle beaucoup de commerces sont déjà ouverts le dimanche.",N/A,N/A
L’idée de les fermer serait une sorte de pierre pour ses employés.,L’idée de les fermer serait une sorte de pierre pour ses employés.,N/A,N/A
"Ils seraient
condamnés à un chomage dont le taux est déjà élevé.",Ils seraient condamnés à un chomage dont le taux est déjà élevé.,N/A,N/A
"Il y a un grand groupe de gens qui ne peuvent
que travailler les week-end p.",Il y a un grand groupe de gens qui ne peuvent que travailler les week-ends p.,N/A,N/A
ex.,Ex.,N/A,N/A
les étudiants.,Les étudiants.,N/A,N/A
"C’est donc souvent une seule possibilité pour eux à
gagner quelque argent.",C’est donc souvent la seule possibilité pour eux de gagner quelque argent.,N/A,N/A
"De l’autre côté, il y a des gens qui tout au long de la semaine sont occupé et ils ne peuvent pas faire
ses achats pendant cette semaine.","De l’autre côté, il y a des gens qui tout au long de la semaine sont occupés et ils ne peuvent pas faire leurs achats pendant cette semaine.",N/A,N/A
Le seul solution peut eux est de le faire le dimanche.,La seule solution possible est de le faire le dimanche.,N/A,N/A
De suite il est indispensable que les pharmacies soient ouvertes également les dimanche.,De suite il est indispensable que les pharmacies soient ouvertes aussi le dimanche.,N/A,N/A
"Sans doute,
chacun parmi nous a déjà eu besoin de ce type des services, surtout en étant le parent.","Sans doute, chacun parmi nous a déjà eu besoin de ce type de services, surtout en tant que parent.",N/A,N/A
"Un autre argument pour est un fait qu’une telle ouverture donne des possibilités aux petites villes à
renaître p.",Un autre argument pour est un fait qu’une telle ouverture donne des possibilités aux petites villes de renaître p.,N/A,N/A
ex.,Ex.,N/A,N/A
socialement ou même culturellement.,Socialement ou même culturellement.,N/A,N/A
"Cela pourrait être une possibilité non
seulement à faire des achats mais aussi de rencontrer les autres.","Cela pourrait être une possibilité non seulement de faire des achats, mais aussi de rencontrer les autres.",N/A,N/A
"On pourrait également y organiser
des évenements, comme p.","On pourrait aussi y organiser des évènements, comme p.",N/A,N/A
ex.,Ex.,N/A,N/A
"des expositions des pièces des théâtre pour apprendre à la culture
des habitants des gens qui n’ont pas une telle chance dehors la vie quotidien.",Des expositions des pièces de théâtre pour apprendre à la culture des habitants des gens qui n’ont pas une telle chance dehors la vie quotidienne.,N/A,N/A
"Néanmoins, il existe aussi un grand nombre des personnes qui s’opposent à ces idées.","Néanmoins, il existe aussi un grand nombre de personnes qui s’opposent à ces idées.",N/A,N/A
"Ils diront sans
doute que c’est inhumaine de priver l’humanité d’un seul jour férié pendant la semaine.",Ils diront sans doute que c’est inhumain de priver l’humanité d’un seul jour férié pendant la semaine.,N/A,N/A
"Et ils ont
peut-être la raison mais si on doublerait les salaires…
Peut-être cela ne serait plus le travail d’esclavage.","Et ils ont peut-être la raison, mais si on doublerait les salaires... Peut-être cela ne serait plus le travail d’esclavage.",N/A,N/A
"En plus il y a des catholiques engagés (surtout en Pologne) pour qui le dimanche est le jour saint et il
doivent le célébrer.",En plus il y a des catholiques engagés (surtout en Pologne) pour qui le dimanche est le jour saint et ils doivent le célébrer.,N/A,N/A
"Selon l’église, le travail le dimanche est interdite.","Selon l’église, le travail le dimanche est interdit.",N/A,N/A
"Sans doute il faut peser tous les pours et les contres pour trouver une bonne solution, de sorte que
chacun soit content.","Sans doute il faut peser tous les pours et les contres pour trouver une bonne solution, de sorte que chacun soit content.",N/A,N/A
Que pensez-vous du réchauffement climatique?,Que pensez-vous du réchauffement climatique ?,N/A,N/A
Le réchauffement climatique concerne tout le monde.,Le réchauffement climatique concerne tout le monde.,N/A,N/A
"L’homme a changé l’environnement à tel point
qu’il est indispensable d’entreprendre des actions concretes et multidimensionnelles pour ralentir le
processus de réchauffement climatique.",L’homme a changé l’environnement à ce point qu’il est indispensable d’entreprendre des actions concrètes et multidimensionnelles pour ralentir le processus de réchauffement climatique.,N/A,N/A
"L’émission de dioxide de carbone ou de la souffre influence
négativement sur la couche d’ozone.",L’émission de dioxyde de carbone ou de la souffrance influence négativement sur la couche d’ozone.,N/A,N/A
"Ce qui en résulte ce sont les pluies acides et la pollution
progressive des sds.",Ce qui en résulte ce sont les pluies acides et la pollution progressive des sds.,N/A,N/A
"De différents écosystemes sont détruits chaque jour et les gouvernements ne
font rien pour arrêter cette déstruction.",De différents écosystemes sont détruits chaque jour et les gouvernements ne font rien pour arrêter cette déstruction.,N/A,N/A
Le réchauffement climatique touche l’agriculture aussi.,Le réchauffement climatique touche aussi l’agriculture.,N/A,N/A
"Les
fruits et les légumes ne peuvent pas s’accoutumer à des conditions nouvelles.",Les fruits et les légumes ne peuvent pas s’accoutumer à des conditions nouvelles.,N/A,N/A
